1.
~$ ps aux
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
~$ cat /proc/3651/status
Name:	gnome-calculato
State:	S (sleeping)
Tgid:	3651
Ngid:	0
Pid:	3651
PPid:	3518
TracerPid:	0
Uid:	1000	1000	1000	1000
Gid:	1000	1000	1000	1000
FDSize:	256
Groups:	4 24 27 30 46 113 128 1000 
NStgid:	3651
NSpid:	3651
NSpgid:	3651
NSsid:	3518
VmPeak:	  696244 kB
VmSize:	  630708 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	   35808 kB
VmRSS:	   33792 kB
VmData:	  374144 kB
VmStk:	     136 kB
VmExe:	     392 kB
VmLib:	   59552 kB
VmPTE:	     496 kB
VmPMD:	      12 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
Threads:	4
SigQ:	0/15290
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	0000000000000000
SigIgn:	0000000000001000
SigCgt:	0000000180000000
CapInh:	0000000000000000
CapPrm:	0000000000000000
CapEff:	0000000000000000
CapBnd:	0000003fffffffff
CapAmb:	0000000000000000
Seccomp:	0
Cpus_allowed:	f
Cpus_allowed_list:	0-3
Mems_allowed:	00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	294
nonvoluntary_ctxt_switches:	42

5.

~$ kill -stop 3651
~$ kill -cont 3651
~$ kill -kill 3651
